player,position
Gerard Keane,D
Mitchell Brewer,D
Cameron Snow,LW
Igor Chibrikov,D
Quinn Yule,LW
Pasquale Zito,RW
Avery Winslow,D
Merrick Rippon,D
Michael Bianconi,D
Luka Profaca,D
Joseph Mack,RW
Marc Boudreau,LW
Maddox Callens,LW
Cameron Morton,D
Mark Woolley,D
Adam Varga,RW
Lucas Theriault,C
Bode Wilde,D
Paul Christopoulos,D
Josh Currie,LW
J.R. Avon,C
William Ennis,D
Markus Phillips,D
Chris Playfair,LW
Noah Sedore,LW
David Jesus,D
Simon Motew,D
Ryan Mast,D
Yanic Crete,C
Anthony Agostinelli,C
Cullen McLean,C
Nolan Burke,C
Keegan McMullen,LW
Justin Pringle,LW
Ben McFarlane,RW
Max Dodig,LW
Jacob Holmes,D
Kirill Steklov,D
Felix-Antoine Tourigny,C
Mathew Hill,D
James Mayotte,D
Isaac Enright,D
Matt McNamara,D
Jack Matier,D
Kaleb Lawrence,LW
Ryan Gagnier,C
Jesse Fishman,C
Nolan Dillingham,D
Ethan Sims,C
Clark Hiebert,D
Cooper Walker,C
AJ Cook,D
Giancarlo Chanton,D
Dominic Mufarreh,RW
Teddy Sawyer,D
Kelton Hatcher,D
Ethan Ritchie,D
Charlie Callaghan,D
Cameron Peters,C
Christopher Cameron,D
Sam Sedley,D
Daniel Michaud,LW
Nolan Seed,D
Ethan Del Mastro,D
Anthony Costantini,D
Dawson McKinney,RW
Mathew MacDougall,LW
Ryan Del Monte,C
Max McCue,LW
Ben Roger,D
Connor Punnett,D
Landon McCallum,C
Marko Jakovljevic,D
Roberto Mancini,D
Stepan Machacek,LW
Ian Lemieux,D
Jacob Maillet,C
Drew Wawrow,D
Luca DelBelBelluz,C
Thomas Johnston,LW
Martin Has,D
Cole Resnick,LW
Tyler Deline,D
Pacey Schlueting,D
Michael Stubbs,C
Ryan Humphrey,LW
Matthew Sredl,D
Kallaway Mercer,LW
Griffin Wilson,C
Graham Dickerson,RW
Mark Duarte,RW
Justin O'Donnell,RW
Braden Haché,D
Shawn Spearing,D
Davis Young,C
David Campbell,LW
Logan LeSage,LW
Chas Sharpe,D
Tye McSorley,RW
Owen Saye,RW
Ethan Larmand,C
Nico Daws,G
Kalvyn Watson,RW
Zacharie Giroux,C
Dylan Robinson,LW
Christian Stevens,C
Gavin White,D
Sean McGurn,C
Nathan Ribau,D
Marcus Gretz,D
Sahil Panwar,LW
Evan Brand,D
Ashton Reesor,D
Brendan Kischnick,D
Stuart Rolofs,LW
Ryan Campbell,C
Ryan Thompson,D
Anthony Popovich,G
Kai Edmonds,G
Nolan DeGurse,LW
Brett Bressette,C
Brenden Sirizzotti,RW
Liam Whittaker,D
Trey Zagrzebski,RW
Artem Guryev,D
Matthew Halushak,D
Tristan Lennox,G
Bryce Montgomery,D
Jack Harper,D
Jacob Ingham,G
Landon Cato,D
Mack Guzda,G
Rylan Bowers,RW
Vladislav Dvurechenskii,LW
Curtis Trolley,C
Sebastian Bulovs,LW
Marko Sikic,C
Matthew Sop,LW
Cameron Lamour,G
Tye Austin,G
Lucas Pfeil,G
Luke Cavallin,G
Colin Campbell,D
Dylan Myskiw,G
Owen Bennett,G
Benjamin Gaudreau,G
Kari Piiroinen,G
Mitchell Weeks,G
Bailey Brkin,G
Jordan Kooy,G
Zachary Roy,G
Ethan Langevin,G
Brett Brochu,G
Christian Propp,G
Joseph Rupoli,D
Joe Vrbetic,G
Cedrick Andree,G
Daniel Murphy,G
Nolan Dann,LW
Peyton Grainer,G
Braeden Bowman,RW
Cole Patey,RW
Josh Rosenzweig,G
Ty Hollett,D
Josh Kavanagh,D
Ranvir Gill-Shane,D
Joe Ranger,G
Ethan Taylor,G
Nick Chenard,G
Nick Malik,G
Frank Jenkins,D
Will Cranley,G
Christian Kyrou,D
Tucker Tynan,G
Christian Sbaraglia,G
Aidan Campbell,G
Ryan Dugas,G
Marshall Frappier,G
Zachary Paputsakis,G
Jet Greaves,G
Marco Costantini,G
Arturs Silovs,G
Xavier Medina,G
Andrew MacLean,G
Christian Purboo,G
Hunter Jones,G
Matvey Guskov,LW
Jacob Roach,C
Danial Singer,RW
Cole Tymkin,RW
Daniel Walker,LW
Marek Berka,LW
Dennis Golovatchev,LW
Zack Terry,D
Kirill Nizhnikov,RW
Jacob Tortora,RW
Phil Caron,D
Luke Drewitt,LW
Niki Korpialho,LW
Nick DeGrazia,C
Oliver Smith,LW
Luke Beamish,D
Hunter Holmes,C
Giordano Biondi,C
Mat Hardwick,RW
Callan Christner,LW
Alex Gritz,C
Ian Martin,RW
Sam Rhodes,C
Emmett Gordon,D
Patrick Brown,RW
Jacob Chantler,C
Nolan Dekoning,G
Brady Maltais,C
Cooper Way,C
David Bowen,G
Matteo Drobac,G
Mathias Onuska,G
Reece Proulx,G
Ryan Smith,C
Nathan Torchia,G
Matt Tovell,G
Tanner Wickware,G
James Jodoin,D
Logan Mailloux,D
Brett Jacklin,RW
Riley Pitt,D
Christian Cicigoi,G
Hayden Davis,D
Brendan Bonello,G
