number,name,team_city,position,games,goals_official,assists,points,sog,shots_blocked,shots
24,Jayne Lewis,Metropolitan,F,3,0,0,0,0,1,1
91,Jenna McParland,Toronto,F,1,0,0,0,0,0,0
93,Julie Allen,Toronto,F,6,0,0,0,4,0,4
15,Kelly O'Sullivan,Buffalo,D,0,0,0,0,0,0,0
20,Kristen Barbara,Toronto,D,4,0,0,0,2,3,5
7,Mary Parker,Boston,F,4,0,0,0,7,1,8
35,Lovisa Selander,Boston,G,,,,,,,
33,Victoria Hanson,Boston,G,,,,,,,
3,Megan Delay,Buffalo,D,6,0,0,0,1,1,2
10,Neve Van Pelt,Buffalo,F,5,0,0,0,3,2,5
19,Taylor Wasylk,Buffalo,F,4,0,0,0,10,0,10
70,Carly Jackson,Buffalo,G,,,,,,,
1,Caty Flagg,Buffalo,G,,,,,,,
35,Abbie Ives,Connecticut,G,,,,,,,
1,Brooke Wolejko,Connecticut,G,,,,,,,
37,Mariah Fujimagri,Connecticut,G,,,,,,,
25,Maeve Reily,Connecticut,F,1,0,0,0,0,0,0
7,Rachael Ade,Connecticut,F,1,0,0,0,3,1,4
27,Sarah Hughson,Connecticut,F,1,0,0,0,1,0,1
10,Laurel Hill,Connecticut,D,2,0,0,0,1,1,2
13,Nicole Guagliardo,Connecticut,F,2,0,0,0,2,2,4
22,Mackenzie Lancaster,Connecticut,F,3,0,0,0,10,1,11
20,Maddie Bishop,Connecticut,F,4,0,0,0,1,1,2
12,Maggie LaGue,Connecticut,D,4,0,0,0,7,7,14
4,Taylor Marchin,Connecticut,D,4,0,0,0,4,2,6
29,Sonjia Shelly,Metropolitan,G,,,,,,,
31,Tera Hofmann,Metropolitan,G,,,,,,,
14,Madison Packer,Metropolitan,F,3,0,0,0,10,2,12
6,Paige Voight,Metropolitan,F,3,0,0,0,4,3,7
9,Rebecca Morse,Metropolitan,D,3,0,0,0,3,11,14
7,Sammy Kolowrat,Metropolitan,D,3,0,0,0,1,3,4
31,Allie Morse,Minnesota,G,,,,,,,
29,Amanda Leveille,Minnesota,G,,,,,,,
22,Lynn Astrup,Minnesota,F,4,0,0,0,0,1,1
33,Maddie Rowe,Minnesota,D,4,0,0,0,3,1,4
88,Sara Bustad,Minnesota,D,4,0,0,0,4,1,5
29,Elaine Chuli,Toronto,G,,,,,,,
34,Samantha Ridgewell,Toronto,G,,,,,,,
