player,position
Maxim Golod,F
Chad Yetman,F
Jamie Drysdale,D
Kyen Sopa,F
Austen Swankler,F
Hayden Fowler,F
Daniel D'Amato,F
Brendan Sellan,F
Drew Hunter,D
Connor Lockhart,F
Jacob Golden,D
Emmett Sproule,F
Brendan Hoffmann,F
Kurtis Henry,D
Elias Cohen,F
Jack Duff,D
Cameron Morton,D
Noah Sedore,F
Mathew MacDougall,F
Brendan Kischnick,D
Brett Bressette,F
Daniel Murphy,G
Christian Kyrou,D
Aidan Campbell,G
Danial Singer,F
Luke Beamish,D
Alex Gritz,F
